"","Account_status","Duration","Credit_history","Purpose","Credit_amount","Savings_bonds","Present_employment_since","Installment_rate","Other_debtors_guarantors","Resident_since","Property","Age","Other_installment_plans","Housing","Existing_credits","Job","People_maintenance_for","Telephone","Foreign_worker","Credit_risk","Gender"
"20","no checking account",24,"existing credits paid back duly till now","radio / television",3430,"500 <= ... < 1000 DM",">= 7 years",3,"none",2,"car or other",31,"none","own",1,"skilled employee / official",2,"yes","yes",1,"Female"
"21","no checking account",9,"critical account / other credits existing (not at this bank)","car (new)",2134,"< 100 DM","1  <= ... < 4 years",4,"none",4,"car or other",48,"none","own",3,"skilled employee / official",1,"yes","yes",1,"Female"
"22","< 0 DM",6,"existing credits paid back duly till now","radio / television",2647,"500 <= ... < 1000 DM","1  <= ... < 4 years",2,"none",3,"real estate",44,"none","rent",1,"skilled employee / official",2,"none","yes",1,"Female"
"23","< 0 DM",10,"critical account / other credits existing (not at this bank)","car (new)",2241,"< 100 DM","< 1 year",1,"none",3,"real estate",48,"none","rent",2,"unskilled - resident",2,"none","no",1,"Female"
"24","0 < ... <  200 DM",12,"critical account / other credits existing (not at this bank)","car (used)",1804,"100 <= ... <  500 DM","< 1 year",3,"none",4,"building society savings agreement / life insurance",44,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"25","no checking account",10,"critical account / other credits existing (not at this bank)","furniture / equipment",2069,"unknown / no savings account","1  <= ... < 4 years",2,"none",1,"car or other",26,"none","own",2,"skilled employee / official",1,"none","no",1,"Female"
"26","< 0 DM",6,"existing credits paid back duly till now","furniture / equipment",1374,"< 100 DM","1  <= ... < 4 years",1,"none",2,"real estate",36,"bank","own",1,"unskilled - resident",1,"yes","yes",1,"Female"
"27","no checking account",6,"no credits taken / all credits paid back duly","radio / television",426,"< 100 DM",">= 7 years",4,"none",4,"car or other",39,"none","own",1,"unskilled - resident",1,"none","yes",1,"Female"
"28",">= 200 DM",12,"all credits at this bank paid back duly","radio / television",409,">= 1000 DM","1  <= ... < 4 years",3,"none",3,"real estate",42,"none","rent",2,"skilled employee / official",1,"none","yes",1,"Male"
"29","0 < ... <  200 DM",7,"existing credits paid back duly till now","radio / television",2415,"< 100 DM","1  <= ... < 4 years",3,"guarantor",2,"real estate",34,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"30","< 0 DM",60,"delay in paying off in the past","business",6836,"< 100 DM",">= 7 years",3,"none",4,"unknown / no property",63,"none","own",2,"skilled employee / official",1,"yes","yes",0,"Female"
"31","0 < ... <  200 DM",18,"existing credits paid back duly till now","business",1913,">= 1000 DM","< 1 year",3,"none",3,"real estate",36,"bank","own",1,"skilled employee / official",1,"yes","yes",1,"Female"
"32","< 0 DM",24,"existing credits paid back duly till now","furniture / equipment",4020,"< 100 DM","1  <= ... < 4 years",2,"none",2,"car or other",27,"stores","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"33","0 < ... <  200 DM",18,"existing credits paid back duly till now","car (new)",5866,"100 <= ... <  500 DM","1  <= ... < 4 years",2,"none",2,"car or other",30,"none","own",2,"skilled employee / official",1,"yes","yes",1,"Female"
"34","no checking account",12,"critical account / other credits existing (not at this bank)","business",1264,"unknown / no savings account",">= 7 years",4,"none",4,"unknown / no property",57,"none","rent",1,"unskilled - resident",1,"none","yes",1,"Female"
"35",">= 200 DM",12,"existing credits paid back duly till now","furniture / equipment",1474,"< 100 DM","< 1 year",4,"none",1,"building society savings agreement / life insurance",33,"bank","own",1,"management / self-employed / highly qualified employee / officer",1,"yes","yes",1,"Male"
"36","0 < ... <  200 DM",45,"critical account / other credits existing (not at this bank)","radio / television",4746,"< 100 DM","< 1 year",4,"none",2,"building society savings agreement / life insurance",25,"none","own",2,"unskilled - resident",1,"none","yes",0,"Female"
"37","no checking account",48,"critical account / other credits existing (not at this bank)","education",6110,"< 100 DM","1  <= ... < 4 years",1,"none",3,"unknown / no property",31,"bank","for free",1,"skilled employee / official",1,"yes","yes",1,"Female"
"38",">= 200 DM",18,"existing credits paid back duly till now","radio / television",2100,"< 100 DM","1  <= ... < 4 years",4,"co-applicant",2,"real estate",37,"stores","own",1,"skilled employee / official",1,"none","yes",0,"Female"
"39",">= 200 DM",10,"existing credits paid back duly till now","domestic appliances",1225,"< 100 DM","1  <= ... < 4 years",2,"none",2,"car or other",37,"none","own",1,"skilled employee / official",1,"yes","yes",1,"Female"
"40","0 < ... <  200 DM",9,"existing credits paid back duly till now","radio / television",458,"< 100 DM","1  <= ... < 4 years",4,"none",3,"real estate",24,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"41","no checking account",30,"existing credits paid back duly till now","radio / television",2333,"500 <= ... < 1000 DM",">= 7 years",4,"none",2,"car or other",30,"bank","own",1,"management / self-employed / highly qualified employee / officer",1,"none","yes",1,"Female"
"42","0 < ... <  200 DM",12,"existing credits paid back duly till now","radio / television",1158,"500 <= ... < 1000 DM","1  <= ... < 4 years",3,"none",1,"car or other",26,"none","own",1,"skilled employee / official",1,"yes","yes",1,"Female"
"43","0 < ... <  200 DM",18,"delay in paying off in the past","repairs",6204,"< 100 DM","1  <= ... < 4 years",2,"none",4,"real estate",44,"none","own",1,"unskilled - resident",2,"yes","yes",1,"Female"
"44","< 0 DM",30,"critical account / other credits existing (not at this bank)","car (used)",6187,"100 <= ... <  500 DM","4  <= ... < 7 years",1,"none",4,"car or other",24,"none","rent",2,"skilled employee / official",1,"none","yes",1,"Female"
"45","< 0 DM",48,"critical account / other credits existing (not at this bank)","car (used)",6143,"< 100 DM",">= 7 years",4,"none",4,"unknown / no property",58,"stores","for free",2,"unskilled - resident",1,"none","yes",0,"Male"
"46","no checking account",11,"critical account / other credits existing (not at this bank)","car (new)",1393,"< 100 DM","< 1 year",4,"none",4,"car or other",35,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"none","yes",1,"Male"
"47","no checking account",36,"existing credits paid back duly till now","radio / television",2299,"500 <= ... < 1000 DM",">= 7 years",4,"none",4,"car or other",39,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"48","< 0 DM",6,"existing credits paid back duly till now","car (used)",1352,"500 <= ... < 1000 DM","unemployed",1,"none",2,"building society savings agreement / life insurance",23,"none","rent",1,"unemployed / unskilled  - non-resident",1,"yes","yes",1,"Male"
"49","no checking account",11,"critical account / other credits existing (not at this bank)","car (new)",7228,"< 100 DM","1  <= ... < 4 years",1,"none",4,"building society savings agreement / life insurance",39,"none","own",2,"unskilled - resident",1,"none","yes",1,"Female"
"50","no checking account",12,"existing credits paid back duly till now","radio / television",2073,"100 <= ... <  500 DM","1  <= ... < 4 years",4,"co-applicant",2,"real estate",28,"none","own",1,"skilled employee / official",1,"none","yes",1,"Male"
"51","0 < ... <  200 DM",24,"delay in paying off in the past","furniture / equipment",2333,"unknown / no savings account","< 1 year",4,"none",2,"building society savings agreement / life insurance",29,"bank","own",1,"unskilled - resident",1,"none","yes",1,"Female"
"52","0 < ... <  200 DM",27,"delay in paying off in the past","car (used)",5965,"< 100 DM",">= 7 years",1,"none",2,"car or other",30,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes","yes",1,"Female"
"53","no checking account",12,"existing credits paid back duly till now","radio / television",1262,"< 100 DM","1  <= ... < 4 years",3,"none",2,"car or other",25,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"54","no checking account",18,"existing credits paid back duly till now","car (used)",3378,"unknown / no savings account","1  <= ... < 4 years",2,"none",1,"building society savings agreement / life insurance",31,"none","own",1,"skilled employee / official",1,"yes","yes",1,"Female"
"55","0 < ... <  200 DM",36,"delay in paying off in the past","car (new)",2225,"< 100 DM",">= 7 years",4,"none",4,"unknown / no property",57,"bank","for free",2,"skilled employee / official",1,"yes","yes",0,"Female"
"56","no checking account",6,"all credits at this bank paid back duly","car (new)",783,"unknown / no savings account","1  <= ... < 4 years",1,"guarantor",2,"real estate",26,"stores","own",1,"unskilled - resident",2,"none","yes",1,"Female"
"57","0 < ... <  200 DM",12,"existing credits paid back duly till now","radio / television",6468,"unknown / no savings account","unemployed",2,"none",1,"unknown / no property",52,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes","yes",0,"Female"
"58","no checking account",36,"critical account / other credits existing (not at this bank)","radio / television",9566,"< 100 DM","1  <= ... < 4 years",2,"none",2,"car or other",31,"stores","own",2,"skilled employee / official",1,"none","yes",1,"Male"
"59",">= 200 DM",18,"existing credits paid back duly till now","car (new)",1961,"< 100 DM",">= 7 years",3,"none",2,"car or other",23,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"none","yes",1,"Male"
"60","< 0 DM",36,"critical account / other credits existing (not at this bank)","furniture / equipment",6229,"< 100 DM","< 1 year",4,"co-applicant",4,"unknown / no property",23,"none","rent",2,"unskilled - resident",1,"yes","yes",0,"Male"
"61","0 < ... <  200 DM",9,"existing credits paid back duly till now","business",1391,"< 100 DM","1  <= ... < 4 years",2,"none",1,"real estate",27,"bank","own",1,"skilled employee / official",1,"yes","yes",1,"Female"
"62","0 < ... <  200 DM",15,"critical account / other credits existing (not at this bank)","radio / television",1537,"unknown / no savings account",">= 7 years",4,"guarantor",4,"real estate",50,"none","own",2,"skilled employee / official",1,"yes","yes",1,"Female"
"63","0 < ... <  200 DM",36,"no credits taken / all credits paid back duly","business",1953,"< 100 DM",">= 7 years",4,"none",4,"unknown / no property",61,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes","yes",0,"Female"
"64","0 < ... <  200 DM",48,"no credits taken / all credits paid back duly","business",14421,"< 100 DM","1  <= ... < 4 years",2,"none",2,"car or other",25,"none","own",1,"skilled employee / official",1,"yes","yes",0,"Female"
"65","no checking account",24,"existing credits paid back duly till now","radio / television",3181,"< 100 DM","< 1 year",4,"none",4,"building society savings agreement / life insurance",26,"none","own",1,"skilled employee / official",1,"yes","yes",1,"Male"
"66","no checking account",27,"existing credits paid back duly till now","repairs",5190,"unknown / no savings account",">= 7 years",4,"none",4,"building society savings agreement / life insurance",48,"none","own",4,"skilled employee / official",2,"yes","yes",1,"Female"
"67","no checking account",12,"existing credits paid back duly till now","radio / television",2171,"< 100 DM","< 1 year",2,"none",2,"car or other",29,"bank","own",1,"skilled employee / official",1,"none","yes",1,"Male"
"68","0 < ... <  200 DM",12,"existing credits paid back duly till now","car (new)",1007,">= 1000 DM","1  <= ... < 4 years",4,"none",1,"real estate",22,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"69","no checking account",36,"existing credits paid back duly till now","education",1819,"< 100 DM","1  <= ... < 4 years",4,"none",4,"unknown / no property",37,"stores","for free",1,"skilled employee / official",1,"yes","yes",0,"Female"
"70","no checking account",36,"existing credits paid back duly till now","radio / television",2394,"unknown / no savings account","1  <= ... < 4 years",4,"none",4,"car or other",25,"none","own",1,"skilled employee / official",1,"none","yes",1,"Male"
"71","no checking account",36,"existing credits paid back duly till now","car (used)",8133,"< 100 DM","1  <= ... < 4 years",1,"none",2,"building society savings agreement / life insurance",30,"bank","own",1,"skilled employee / official",1,"none","yes",1,"Male"
"72","no checking account",7,"critical account / other credits existing (not at this bank)","radio / television",730,"unknown / no savings account",">= 7 years",4,"none",2,"building society savings agreement / life insurance",46,"none","rent",2,"unskilled - resident",1,"yes","yes",1,"Female"
"73","< 0 DM",8,"critical account / other credits existing (not at this bank)","others",1164,"< 100 DM",">= 7 years",3,"none",4,"unknown / no property",51,"bank","for free",2,"management / self-employed / highly qualified employee / officer",2,"yes","yes",1,"Female"
"74","0 < ... <  200 DM",42,"critical account / other credits existing (not at this bank)","business",5954,"< 100 DM","4  <= ... < 7 years",2,"none",1,"real estate",41,"bank","own",2,"unskilled - resident",1,"none","yes",1,"Male"
"75","< 0 DM",36,"existing credits paid back duly till now","education",1977,"unknown / no savings account",">= 7 years",4,"none",4,"unknown / no property",40,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes","yes",0,"Female"
"76","< 0 DM",12,"critical account / other credits existing (not at this bank)","car (used)",1526,"< 100 DM",">= 7 years",4,"none",4,"unknown / no property",66,"none","for free",2,"management / self-employed / highly qualified employee / officer",1,"none","yes",1,"Female"
"77","< 0 DM",42,"existing credits paid back duly till now","radio / television",3965,"< 100 DM","< 1 year",4,"none",3,"car or other",34,"none","own",1,"skilled employee / official",1,"none","yes",0,"Female"
"78","0 < ... <  200 DM",11,"delay in paying off in the past","radio / television",4771,"< 100 DM","4  <= ... < 7 years",2,"none",4,"building society savings agreement / life insurance",51,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"79","no checking account",54,"no credits taken / all credits paid back duly","car (used)",9436,"unknown / no savings account","1  <= ... < 4 years",2,"none",2,"building society savings agreement / life insurance",39,"none","own",1,"unskilled - resident",2,"none","yes",1,"Female"
"80","0 < ... <  200 DM",30,"existing credits paid back duly till now","furniture / equipment",3832,"< 100 DM","< 1 year",2,"none",1,"building society savings agreement / life insurance",22,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"81","no checking account",24,"existing credits paid back duly till now","radio / television",5943,"unknown / no savings account","< 1 year",1,"none",1,"car or other",44,"none","own",2,"skilled employee / official",1,"yes","yes",0,"Male"
"82","no checking account",15,"existing credits paid back duly till now","radio / television",1213,"500 <= ... < 1000 DM",">= 7 years",4,"none",3,"building society savings agreement / life insurance",47,"stores","own",1,"skilled employee / official",1,"yes","yes",1,"Female"
"83","no checking account",18,"existing credits paid back duly till now","business",1568,"100 <= ... <  500 DM","1  <= ... < 4 years",3,"none",4,"building society savings agreement / life insurance",24,"none","rent",1,"unskilled - resident",1,"none","yes",1,"Male"
"84","< 0 DM",24,"existing credits paid back duly till now","others",1755,"< 100 DM",">= 7 years",4,"guarantor",4,"real estate",58,"none","own",1,"unskilled - resident",1,"yes","yes",1,"Male"
"85","< 0 DM",10,"existing credits paid back duly till now","radio / television",2315,"< 100 DM",">= 7 years",3,"none",4,"real estate",52,"none","own",1,"unskilled - resident",1,"none","yes",1,"Female"
"86","no checking account",12,"critical account / other credits existing (not at this bank)","business",1412,"< 100 DM","1  <= ... < 4 years",4,"guarantor",2,"real estate",29,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes","yes",1,"Male"
"87","0 < ... <  200 DM",18,"critical account / other credits existing (not at this bank)","furniture / equipment",1295,"< 100 DM","< 1 year",4,"none",1,"building society savings agreement / life insurance",27,"none","own",2,"skilled employee / official",1,"none","yes",1,"Male"
"88","0 < ... <  200 DM",36,"existing credits paid back duly till now","education",12612,"100 <= ... <  500 DM","1  <= ... < 4 years",1,"none",4,"unknown / no property",47,"none","for free",1,"skilled employee / official",2,"yes","yes",0,"Female"
"89","< 0 DM",18,"existing credits paid back duly till now","car (new)",2249,"100 <= ... <  500 DM","4  <= ... < 7 years",4,"none",3,"car or other",30,"none","own",1,"management / self-employed / highly qualified employee / officer",2,"yes","yes",1,"Female"
"90","< 0 DM",12,"no credits taken / all credits paid back duly","repairs",1108,"< 100 DM","4  <= ... < 7 years",4,"none",3,"real estate",28,"none","own",2,"skilled employee / official",1,"none","yes",0,"Female"
"91","no checking account",12,"critical account / other credits existing (not at this bank)","radio / television",618,"< 100 DM",">= 7 years",4,"none",4,"real estate",56,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"92","< 0 DM",12,"critical account / other credits existing (not at this bank)","car (used)",1409,"< 100 DM",">= 7 years",4,"none",3,"real estate",54,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"93","no checking account",12,"critical account / other credits existing (not at this bank)","radio / television",797,"unknown / no savings account",">= 7 years",4,"none",3,"building society savings agreement / life insurance",33,"bank","own",1,"unskilled - resident",2,"none","yes",0,"Male"
"94",">= 200 DM",24,"critical account / other credits existing (not at this bank)","furniture / equipment",3617,"unknown / no savings account",">= 7 years",4,"co-applicant",4,"unknown / no property",20,"none","rent",2,"skilled employee / official",1,"none","yes",1,"Female"
"95","0 < ... <  200 DM",12,"existing credits paid back duly till now","car (new)",1318,">= 1000 DM",">= 7 years",4,"none",4,"real estate",54,"none","own",1,"skilled employee / official",1,"yes","yes",1,"Female"
"96","0 < ... <  200 DM",54,"no credits taken / all credits paid back duly","business",15945,"< 100 DM","< 1 year",3,"none",4,"unknown / no property",58,"none","rent",1,"skilled employee / official",1,"yes","yes",0,"Female"
"97","no checking account",12,"critical account / other credits existing (not at this bank)","education",2012,"unknown / no savings account","4  <= ... < 7 years",4,"none",2,"car or other",61,"none","own",1,"skilled employee / official",1,"none","yes",1,"Male"
"98","0 < ... <  200 DM",18,"existing credits paid back duly till now","business",2622,"100 <= ... <  500 DM","1  <= ... < 4 years",4,"none",4,"car or other",34,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"99","0 < ... <  200 DM",36,"critical account / other credits existing (not at this bank)","radio / television",2337,"< 100 DM",">= 7 years",4,"none",4,"real estate",36,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"100","0 < ... <  200 DM",20,"delay in paying off in the past","car (used)",7057,"unknown / no savings account","4  <= ... < 7 years",3,"none",4,"building society savings agreement / life insurance",36,"bank","rent",2,"management / self-employed / highly qualified employee / officer",2,"yes","yes",1,"Female"
"101","no checking account",24,"existing credits paid back duly till now","car (new)",1469,"100 <= ... <  500 DM",">= 7 years",4,"none",4,"real estate",41,"none","rent",1,"unskilled - resident",1,"none","yes",1,"Female"
"102","0 < ... <  200 DM",36,"existing credits paid back duly till now","radio / television",2323,"< 100 DM","4  <= ... < 7 years",4,"none",4,"car or other",24,"none","rent",1,"skilled employee / official",1,"none","yes",1,"Female"
"103","no checking account",6,"delay in paying off in the past","radio / television",932,"< 100 DM","1  <= ... < 4 years",3,"none",2,"real estate",24,"none","own",1,"skilled employee / official",1,"none","yes",1,"Male"
"104","0 < ... <  200 DM",9,"critical account / other credits existing (not at this bank)","furniture / equipment",1919,"< 100 DM","4  <= ... < 7 years",4,"none",3,"car or other",35,"none","rent",1,"skilled employee / official",1,"yes","yes",1,"Female"
"105","no checking account",12,"existing credits paid back duly till now","car (used)",2445,"unknown / no savings account","< 1 year",2,"none",4,"car or other",26,"none","rent",1,"skilled employee / official",1,"yes","yes",1,"Female"
"106","0 < ... <  200 DM",24,"critical account / other credits existing (not at this bank)","others",11938,"< 100 DM","1  <= ... < 4 years",2,"co-applicant",3,"car or other",39,"none","own",2,"management / self-employed / highly qualified employee / officer",2,"yes","yes",0,"Female"
"107","no checking account",18,"all credits at this bank paid back duly","car (new)",6458,"< 100 DM",">= 7 years",2,"none",4,"unknown / no property",39,"bank","own",2,"management / self-employed / highly qualified employee / officer",2,"yes","yes",0,"Female"
"108","0 < ... <  200 DM",12,"existing credits paid back duly till now","car (new)",6078,"< 100 DM","4  <= ... < 7 years",2,"none",2,"car or other",32,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"109","< 0 DM",24,"existing credits paid back duly till now","furniture / equipment",7721,"unknown / no savings account","< 1 year",1,"none",2,"building society savings agreement / life insurance",30,"none","own",1,"skilled employee / official",1,"yes","no",1,"Male"
"110","0 < ... <  200 DM",14,"existing credits paid back duly till now","business",1410,"500 <= ... < 1000 DM",">= 7 years",1,"none",2,"real estate",35,"none","own",1,"skilled employee / official",1,"yes","yes",1,"Female"
"111","0 < ... <  200 DM",6,"delay in paying off in the past","business",1449,"100 <= ... <  500 DM",">= 7 years",1,"none",2,"car or other",31,"bank","own",2,"skilled employee / official",2,"none","yes",1,"Female"
"112",">= 200 DM",15,"existing credits paid back duly till now","education",392,"< 100 DM","< 1 year",4,"none",4,"building society savings agreement / life insurance",23,"none","rent",1,"skilled employee / official",1,"yes","yes",1,"Male"
"113","0 < ... <  200 DM",18,"existing credits paid back duly till now","car (new)",6260,"< 100 DM","4  <= ... < 7 years",3,"none",3,"real estate",28,"none","rent",1,"unskilled - resident",1,"none","yes",1,"Female"
"114","no checking account",36,"critical account / other credits existing (not at this bank)","car (new)",7855,"< 100 DM","1  <= ... < 4 years",4,"none",2,"real estate",25,"stores","own",2,"skilled employee / official",1,"yes","yes",0,"Male"
"115","< 0 DM",12,"existing credits paid back duly till now","radio / television",1680,"500 <= ... < 1000 DM",">= 7 years",3,"none",1,"real estate",35,"none","own",1,"skilled employee / official",1,"none","yes",1,"Female"
"116","no checking account",48,"critical account / other credits existing (not at this bank)","radio / television",3578,"unknown / no savings account",">= 7 years",4,"none",1,"real estate",47,"none","own",1,"skilled employee / official",1,"yes","yes",1,"Female"
"117","< 0 DM",42,"existing credits paid back duly till now","radio / television",7174,"unknown / no savings account","4  <= ... < 7 years",4,"none",3,"car or other",30,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes","yes",0,"Male"
"118","< 0 DM",10,"critical account / other credits existing (not at this bank)","furniture / equipment",2132,"unknown / no savings account","< 1 year",2,"co-applicant",3,"real estate",27,"none","rent",2,"skilled employee / official",1,"none","no",1,"Male"
"119","< 0 DM",33,"critical account / other credits existing (not at this bank)","furniture / equipment",4281,"500 <= ... < 1000 DM","1  <= ... < 4 years",1,"none",4,"car or other",23,"none","own",2,"skilled employee / official",1,"none","yes",0,"Male"
"120","0 < ... <  200 DM",12,"critical account / other credits existing (not at this bank)","car (new)",2366,"500 <= ... < 1000 DM","4  <= ... < 7 years",3,"none",3,"car or other",36,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes","yes",1,"Female"
"121","< 0 DM",21,"existing credits paid back duly till now","radio / television",1835,"< 100 DM","1  <= ... < 4 years",3,"none",2,"real estate",25,"none","own",2,"skilled employee / official",1,"yes","yes",0,"Male"
"122","no checking account",24,"critical account / other credits existing (not at this bank)","car (used)",3868,"< 100 DM",">= 7 years",4,"none",2,"car or other",41,"none","rent",2,"management / self-employed / highly qualified employee / officer",1,"yes","yes",1,"Male"
"123","no checking account",12,"existing credits paid back duly till now","furniture / equipment",1768,"< 100 DM","1  <= ... < 4 years",3,"none",2,"real estate",24,"none","rent",1,"unskilled - resident",1,"none","yes",1,"Female"
"124",">= 200 DM",10,"critical account / other credits existing (not at this bank)","car (new)",781,"< 100 DM",">= 7 years",4,"none",4,"unknown / no property",63,"none","for free",2,"skilled employee / official",1,"yes","yes",1,"Female"
"125","0 < ... <  200 DM",18,"existing credits paid back duly till now","furniture / equipment",1924,"unknown / no savings account","< 1 year",4,"none",3,"real estate",27,"none","rent",1,"skilled employee / official",1,"none","yes",0,"Male"
"126","< 0 DM",12,"critical account / other credits existing (not at this bank)","car (new)",2121,"< 100 DM","1  <= ... < 4 years",4,"none",2,"building society savings agreement / life insurance",30,"none","own",2,"skilled employee / official",1,"none","yes",1,"Female"
"127","< 0 DM",12,"existing credits paid back duly till now","radio / television",701,"< 100 DM","1  <= ... < 4 years",4,"none",2,"real estate",40,"none","own",1,"unskilled - resident",1,"none","yes",1,"Female"
"128","0 < ... <  200 DM",12,"existing credits paid back duly till now","repairs",639,"< 100 DM","1  <= ... < 4 years",4,"none",2,"car or other",30,"none","own",1,"skilled employee / official",1,"none","yes",0,"Female"
"129","0 < ... <  200 DM",12,"critical account / other credits existing (not at this bank)","car (used)",1860,"< 100 DM","unemployed",4,"none",2,"car or other",34,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes","yes",1,"Female"
"130","< 0 DM",12,"critical account / other credits existing (not at this bank)","car (new)",3499,"< 100 DM","1  <= ... < 4 years",3,"co-applicant",2,"real estate",29,"none","own",2,"skilled employee / official",1,"none","yes",0,"Male"
"131","0 < ... <  200 DM",48,"existing credits paid back duly till now","car (new)",8487,"unknown / no savings account","4  <= ... < 7 years",1,"none",2,"car or other",24,"none","own",1,"skilled employee / official",1,"none","yes",1,"Male"
